,Unnamed: 0,article,summary,article_len_approx,summary_len_approx,predicted
0,7022,over 700 websites of various central and state government departments were hacked in the past four years the government informed the lok sabha on tuesday the most number of hacks took place in 2016 199 followed by 2013 189 and 2015 164 union minister kiren rijiju said he further said 8 348 persons were arrested for their involvement in cyber crimes,over 700 govt websites hacked in 4 years govt,62,10,over 100 lakh people hacked by 4 years since 2014
1,13882,vindu dara singh wrestler-turned-actor dara singh s son has revealed that akshay kumar is a little confused about doing biopic on his late father we have spoken to akshay about it he is thinking vindu added he also said that according to him akshay will be wonderful to play the part and doesn t need to bulk up for it,akshay confused about doing dara singh biopic dara s son,61,11,akshay kumar is a villain in my father s father
2,3115,a video shared by actress alia bhatt on social media shows her asking co-actor varun dhawan math sums as part of promotions for their upcoming film badrinath ki dulhania the answer of the math sum is eight which marks the number of days left for the release of their film badrinath ki dulhania is alia and varun s third film together,video shows alia bhatt asking varun dhawan math sums,62,10,alia shares video to varun s bail to varun
3,40290,after the pampore attack that left eight crpf personnel dead and 21 injured home minister rajnath singh on sunday said we won t fire first but if pakistan fires then we won t keep an account of our bullets singh added that pakistan is trying to destabilise india and its attitude towards battling terrorism is not right,won t keep account of bullets if pak fires,58,10,pak has won t kill 11 injured in pak rajnath singh
4,29331,wishing west indies batsman chris gayle on his 37th birthday former indian batsman virender sehwag tweeted happy birthday to my friend and #universeboss chris @henrygayle this year too gayle don t fail happy birthday to one of the most enthusiastic and joyous souls on and off field @henrygayle may life be as fantastic as your sixes read sachin tendulkar s tweet,happy birthday universe boss chris gayle tweets user,62,9,gayle wishes sehwag on his birthday tweets user
5,1946,actor shah rukh khan has said that with salman khan there is a sense of seniority as the latter started working in films before the former i was new for four years while he had been working he added while salman made his bollywood acting debut with 1988 film biwi ho to aisi srk s debut film deewana released in 1992,salman joined films before so sense of seniority exists srk,62,11,salman is a single baby in films shah rukh khan
6,18048,sachin tendulkar s autobiography playing it my way has won the crossword book of the year award in the autobiography category the book was co-written by cricket historian boria majumdar and released in november 2014 earlier the book had entered the limca book of records for the bestselling adult hardback on release logging most orders on the first day of publication,tendulkar s autobiography wins book of the year award,62,10,sachin wins book award award for the year
7,39466,china-based hangzhou bina industrial technology company is reportedly threatening to fire its employees if they buy the new iphone 7 amid allegations that apple programmers could be anti-chinese the company has posted a notice in its offices titled patriotism for its 50-strong workforce it has also instructed its employees to trade in their existing iphone handsets for china-made phones,chinese firm warns staff against buying iphone 7,60,9,chinese firm passes to fire over iphone 7 report
8,8683,us president donald trump s chief white house strategist stephen bannon has termed news media as the opposition party and said it should keep its mouth shut after failing to foresee trump s election win they don t understand this country bannon added earlier trump had said journalists were among the most dishonest people on earth,media is opposition should keep its mouth shut trump aide,57,11,trump should stop the mannequin challenge trump
9,3450,actor nawazuddin siddiqui has said that since popular award shows have become very shallow they should be shut down he added let s not call them award functions because awards are supposed to be prestigious they ve lost their seriousness and credibility nawazuddin further said that he hardly attends award functions and gets irritated when he is nominated,popular award shows shallow should be shut down nawazuddin,59,10,i am a lot of being made by me nawazuddin
